x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,y
16,18,28,19,25,12,26,11,21,10,8,17,24,13,15,27,7,20,4,5,6,2,1,3,22,14,33,31,29,34,32,30,35,23,9,133347.00000000003
16,18,28,19,25,12,26,11,21,10,8,17,24,13,15,27,7,20,4,5,6,2,1,3,22,14,33,31,29,34,32,30,35,23,9,133347.00000000003
16,18,28,19,25,12,26,11,21,10,8,17,24,13,15,27,7,20,4,5,6,2,1,3,22,14,33,31,29,34,32,30,35,23,9,133347.00000000003
14,18,28,19,25,12,26,11,21,10,22,17,24,13,15,27,7,20,4,5,6,2,1,3,8,16,33,29,31,34,32,30,35,23,9,132803.09999999998
14,18,28,19,25,12,26,11,21,10,22,17,24,13,15,27,7,20,4,5,6,2,1,3,8,16,33,29,31,34,32,30,35,23,9,132803.09999999998
14,18,28,19,25,12,26,11,21,10,22,17,24,13,15,27,7,20,4,5,6,2,1,3,8,16,33,29,31,34,32,30,35,23,9,132803.09999999998
14,18,28,19,25,12,26,11,21,10,22,17,24,13,15,27,7,20,4,5,6,2,1,3,8,16,33,29,31,34,32,30,35,23,9,132803.09999999998
14,18,28,19,25,12,26,11,21,10,22,17,24,13,15,23,7,20,4,5,1,6,2,3,27,16,33,29,31,34,32,30,35,8,9,131530.59999999998
14,18,28,19,25,12,26,11,21,10,22,17,24,13,15,27,7,20,4,5,1,6,2,3,23,16,33,29,31,34,32,30,35,8,9,131107.4
14,18,28,19,25,12,26,11,21,10,22,17,24,13,15,27,7,20,4,5,1,6,2,3,23,16,33,29,31,34,32,30,35,8,9,131107.4
14,18,28,19,25,12,26,11,21,10,22,17,24,13,15,27,7,20,4,5,1,6,2,3,23,16,33,29,31,34,32,30,35,8,9,131107.4
14,18,28,19,25,12,26,11,21,10,22,17,24,13,15,27,7,20,4,5,1,6,2,3,23,16,33,29,31,34,32,30,35,8,9,131107.4
14,18,28,19,25,12,26,11,21,10,22,17,24,13,15,27,7,20,4,5,1,6,2,3,23,16,33,29,31,34,32,30,35,8,9,131107.4
14,18,28,19,25,12,26,11,21,10,22,17,24,13,15,27,7,20,4,5,1,6,2,3,23,16,33,29,31,34,32,30,35,8,9,131107.4
14,18,28,19,25,12,26,11,21,10,22,17,24,13,15,27,7,20,4,5,1,6,2,3,23,16,33,29,31,34,32,30,35,8,9,131107.4
14,18,28,19,25,12,26,11,21,10,22,17,24,13,15,27,7,20,4,5,1,6,2,3,23,16,33,29,31,34,32,30,35,8,9,131107.4
14,18,28,19,25,12,26,11,21,10,22,17,24,13,15,27,7,20,4,5,1,6,2,3,23,16,33,29,31,34,32,30,35,8,9,131107.4
